modified,publisher.name,publisher.subOrganizationOf.name,contactPoint.fn,keyword
2016-01-21,General Services Administration,,Usha Gopal,Schedules
2016-01-21,General Services Administration,,Usha Gopal,e-Buy
2016-01-21,General Services Administration,,Usha Gopal,<nil>
2011-06-22,General Services Administration,,Jonathan Anderson,Balanced Scorecard Perspectives
2011-06-22,General Services Administration,,Jonathan Anderson,Customer
2011-06-22,General Services Administration,,Jonathan Anderson,Q-Federal Acquisition Service performance measures
2011-06-22,General Services Administration,,Jonathan Anderson,internal processes and technology
2011-06-22,General Services Administration,,Jonathan Anderson,stakeholder
2011-06-22,General Services Administration,,Jonathan Anderson,travel
2011-06-22,General Services Administration,,Jonathan Anderson,<nil>
2020-12-22,General Services Administration,,David W Orcutt,FAS
2020-12-22,General Services Administration,,David W Orcutt,GSA
2020-12-22,General Services Administration,,David W Orcutt,Industrial Funding Fee
2020-12-22,General Services Administration,,David W Orcutt,Instructional Letters
2020-12-22,General Services Administration,,David W Orcutt,Interactive
2020-12-22,General Services Administration,,David W Orcutt,<nil>
2016-05-10,General Services Administration,,Lois Mandell,Federal Mail
2016-05-10,General Services Administration,,Lois Mandell,Federal Mail Expenditures
2016-05-10,General Services Administration,,Lois Mandell,Federal Mail Management
2016-05-10,General Services Administration,,Lois Mandell,Federal Mail Pieces
2016-05-10,General Services Administration,,Lois Mandell,Federal Mail Policy
2016-05-10,General Services Administration,,Lois Mandell,<nil>
2019-02-06,General Services Administration,,Usha Gopal,eLibrary GSA Schedule Contract
2019-02-06,General Services Administration,,Usha Gopal,<nil>
2017-05-17,General Services Administration,,Frank Fornaris,NSN
2017-05-17,General Services Administration,,Frank Fornaris,National Stock Number
2017-05-17,General Services Administration,,Frank Fornaris,Part Number
2017-05-17,General Services Administration,,Frank Fornaris,Product
2017-05-17,General Services Administration,,Frank Fornaris,Vendor
2017-05-17,General Services Administration,,Frank Fornaris,<nil>
2019-06-12,General Services Administration,,Toni L Holloway,Networx
2019-06-12,General Services Administration,,Toni L Holloway,telecommunications.
2019-06-12,General Services Administration,,Toni L Holloway,<nil>
2018-11-15,General Services Administration,,Nancy V Hexmoor,p-card
2018-11-15,General Services Administration,,Nancy V Hexmoor,purchase card
2018-11-15,General Services Administration,,Nancy V Hexmoor,purchase card transactions
2018-11-15,General Services Administration,,Nancy V Hexmoor,transactions
2018-11-15,General Services Administration,,Nancy V Hexmoor,<nil>
2023-11-27T19:54:14.144Z,General Services Administration,,Rachel Bichsel,Building
2023-11-27T19:54:14.144Z,General Services Administration,,Rachel Bichsel,Construction
2023-11-27T19:54:14.144Z,General Services Administration,,Rachel Bichsel,Historic
2023-11-27T19:54:14.144Z,General Services Administration,,Rachel Bichsel,Space
2023-11-27T19:54:14.144Z,General Services Administration,,Rachel Bichsel,<nil>
2018-10-03,General Services Administration,,Mary Margaret M Carr,API
2018-10-03,General Services Administration,,Mary Margaret M Carr,Fine Arts
2018-10-03,General Services Administration,,Mary Margaret M Carr,TMS
2018-10-03,General Services Administration,,Mary Margaret M Carr,eMuseum
2018-10-03,General Services Administration,,Mary Margaret M Carr,<nil>
2015-09-10,General Services Administration,,Justin M Pinkney,Activity
2015-09-10,General Services Administration,,Justin M Pinkney,Alterations
2015-09-10,General Services Administration,,Justin M Pinkney,Budget
2015-09-10,General Services Administration,,Justin M Pinkney,Construction
2015-09-10,General Services Administration,,Justin M Pinkney,Historic Preservation
2015-09-10,General Services Administration,,Justin M Pinkney,Project
2015-09-10,General Services Administration,,Justin M Pinkney,Repairs
2015-09-10,General Services Administration,,Justin M Pinkney,Reporting
2015-09-10,General Services Administration,,Justin M Pinkney,<nil>
2010-07-16,General Services Administration,,Michael Stephenson,Assistance Listings
2010-07-16,General Services Administration,,Michael Stephenson,CFDA
2010-07-16,General Services Administration,,Michael Stephenson,Economic Development
2010-07-16,General Services Administration,,Michael Stephenson,Education
2010-07-16,General Services Administration,,Michael Stephenson,Federal
2010-07-16,General Services Administration,,Michael Stephenson,Financial Assistance
2010-07-16,General Services Administration,,Michael Stephenson,Grants
2010-07-16,General Services Administration,,Michael Stephenson,Health Care
2010-07-16,General Services Administration,,Michael Stephenson,Insurance
2010-07-16,General Services Administration,,Michael Stephenson,Loans
2010-07-16,General Services Administration,,Michael Stephenson,Local Government
2010-07-16,General Services Administration,,Michael Stephenson,Nonprofit Organizations
2010-07-16,General Services Administration,,Michael Stephenson,Private Profit
2010-07-16,General Services Administration,,Michael Stephenson,Projects
2010-07-16,General Services Administration,,Michael Stephenson,Research
2010-07-16,General Services Administration,,Michael Stephenson,Scholarships
2010-07-16,General Services Administration,,Michael Stephenson,Services
2010-07-16,General Services Administration,,Michael Stephenson,State Government
2010-07-16,General Services Administration,,Michael Stephenson,<nil>
2016-02-23,General Services Administration,,Norma H Tolson,Credit Card
2016-02-23,General Services Administration,,Norma H Tolson,Travel Card
2016-02-23,General Services Administration,,Norma H Tolson,<nil>
2017-05-08,General Services Administration,,Robert D Bourne,Acquisition
2017-05-08,General Services Administration,,Robert D Bourne,Instructional Letters
2017-05-08,General Services Administration,,Robert D Bourne,<nil>
2017-05-08,General Services Administration,,Robert D Bourne,Acquisition
2017-05-08,General Services Administration,,Robert D Bourne,Instructional Letters
2017-05-08,General Services Administration,,Robert D Bourne,<nil>
2020-12-30,General Services Administration,,David W Orcutt,FAS
2020-12-30,General Services Administration,,David W Orcutt,Industrial Funding Fee
2020-12-30,General Services Administration,,David W Orcutt,Instructional Letters
2020-12-30,General Services Administration,,David W Orcutt,Interactive
2020-12-30,General Services Administration,,David W Orcutt,<nil>
2016-01-07,General Services Administration,,Mary Searcy,Acquisition
2016-01-07,General Services Administration,,Mary Searcy,Award
2016-01-07,General Services Administration,,Mary Searcy,Contracts
2016-01-07,General Services Administration,,Mary Searcy,FPDS
2016-01-07,General Services Administration,,Mary Searcy,Federal Procurement Data System
2016-01-07,General Services Administration,,Mary Searcy,Procurement
2016-01-07,General Services Administration,,Mary Searcy,reporting
2016-01-07,General Services Administration,,Mary Searcy,<nil>
2015-11-16,General Services Administration,,Paul F Boyle,Activity
2015-11-16,General Services Administration,,Paul F Boyle,Commercial
2015-11-16,General Services Administration,,Paul F Boyle,FAIR Act
2015-11-16,General Services Administration,,Paul F Boyle,Functions
2015-11-16,General Services Administration,,Paul F Boyle,Inherently Governmental
2015-11-16,General Services Administration,,Paul F Boyle,Inventory
2015-11-16,General Services Administration,,Paul F Boyle,<nil>
2019-06-12,General Services Administration,,Toni L Holloway,Networx
2019-06-12,General Services Administration,,Toni L Holloway,telecommunications.
2019-06-12,General Services Administration,,Toni L Holloway,<nil>
2018-11-15,General Services Administration,,Daphne Muse,Inspector General
2018-11-15,General Services Administration,,Daphne Muse,Office of Inspector General
2018-11-15,General Services Administration,,Daphne Muse,Purchase Card
2018-11-15,General Services Administration,,Daphne Muse,transactions
2018-11-15,General Services Administration,,Daphne Muse,<nil>
2018-09-24,General Services Administration,,Michael F Bloom,API
2018-09-24,General Services Administration,,Michael F Bloom,SFTool
2018-09-24,General Services Administration,,Michael F Bloom,Sustainable Facilities Tool
2018-09-24,General Services Administration,,Michael F Bloom,<nil>
2020-12-22,General Services Administration,,David W Orcutt,FAS
2020-12-22,General Services Administration,,David W Orcutt,Industrial Funding Fee
2020-12-22,General Services Administration,,David W Orcutt,Instructional Letters
2020-12-22,General Services Administration,,David W Orcutt,Interactive
2020-12-22,General Services Administration,,David W Orcutt,<nil>
2016-05-10,General Services Administration,,Robert Galloway,Aircraft Agency
2016-05-10,General Services Administration,,Robert Galloway,Aircraft Cost
2016-05-10,General Services Administration,,Robert Galloway,Aircraft Hours
2016-05-10,General Services Administration,,Robert Galloway,Aircraft Utilization
2016-05-10,General Services Administration,,Robert Galloway,FAIRS
2016-05-10,General Services Administration,,Robert Galloway,<nil>
2016-03-13,General Services Administration,,John Corro,Award
2016-03-13,General Services Administration,,John Corro,FBO
2016-03-13,General Services Administration,,John Corro,FedBizOpps
2016-03-13,General Services Administration,,John Corro,Opportunity
2016-03-13,General Services Administration,,John Corro,Procurement
2016-03-13,General Services Administration,,John Corro,RFI
2016-03-13,General Services Administration,,John Corro,RFP
2016-03-13,General Services Administration,,John Corro,Solicitation
2016-03-13,General Services Administration,,John Corro,opportunities
2016-03-13,General Services Administration,,John Corro,<nil>
2016-02-23,General Services Administration,,Claudia J Brumbach,DDS2
2016-02-23,General Services Administration,,Claudia J Brumbach,FSSI
2016-02-23,General Services Administration,,Claudia J Brumbach,<nil>
2019-06-12,General Services Administration,,Toni L Holloway,Networx
2019-06-12,General Services Administration,,Toni L Holloway,telecommunications.
2019-06-12,General Services Administration,,Toni L Holloway,<nil>
2019-06-12,General Services Administration,,Toni L Holloway,Networx
2019-06-12,General Services Administration,,Toni L Holloway,telecommunications.
2019-06-12,General Services Administration,,Toni L Holloway,<nil>
2019-06-12,General Services Administration,,Toni L Holloway,Networx
2019-06-12,General Services Administration,,Toni L Holloway,telecommunications.
2019-06-12,General Services Administration,,Toni L Holloway,<nil>
2015-11-23,General Services Administration,,Russell G O'Neill,Blog
2015-11-23,General Services Administration,,Russell G O'Neill,Consumer
2015-11-23,General Services Administration,,Russell G O'Neill,government benefits
2015-11-23,General Services Administration,,Russell G O'Neill,government information
2015-11-23,General Services Administration,,Russell G O'Neill,government services
2015-11-23,General Services Administration,,Russell G O'Neill,news
2015-11-23,General Services Administration,,Russell G O'Neill,smart living
2015-11-23,General Services Administration,,Russell G O'Neill,<nil>
2016-01-21,General Services Administration,,Usha Gopal,Award
2016-01-21,General Services Administration,,Usha Gopal,Contracts
2016-01-21,General Services Administration,,Usha Gopal,Procurement
2016-01-21,General Services Administration,,Usha Gopal,Quote
2016-01-21,General Services Administration,,Usha Gopal,RFQ
2016-01-21,General Services Administration,,Usha Gopal,Schedules
2016-01-21,General Services Administration,,Usha Gopal,e-Buy
2016-01-21,General Services Administration,,Usha Gopal,<nil>
2019-07-30,General Services Administration,,Shirl R Tillman,Analysis
2019-07-30,General Services Administration,,Shirl R Tillman,Chilled Water
2019-07-30,General Services Administration,,Shirl R Tillman,Energy Usage
2019-07-30,General Services Administration,,Shirl R Tillman,Utilities
2019-07-30,General Services Administration,,Shirl R Tillman,electricity
2019-07-30,General Services Administration,,Shirl R Tillman,natural gas
2019-07-30,General Services Administration,,Shirl R Tillman,oil
2019-07-30,General Services Administration,,Shirl R Tillman,steam and renewable energy
2019-07-30,General Services Administration,,Shirl R Tillman,<nil>
2018-10-09,General Services Administration,,Mary Searcy,API
2018-10-09,General Services Administration,,Mary Searcy,FPDS
2018-10-09,General Services Administration,,Mary Searcy,<nil>
2016-02-23,General Services Administration,,Nathan Morgan Kreoger,FSSI
2016-02-23,General Services Administration,,Nathan Morgan Kreoger,MRO
2016-02-23,General Services Administration,,Nathan Morgan Kreoger,<nil>
2016-02-23,General Services Administration,,Joshua Daniel Royko,BPA
2016-02-23,General Services Administration,,Joshua Daniel Royko,Data
2016-02-23,General Services Administration,,Joshua Daniel Royko,FSSI
2016-02-23,General Services Administration,,Joshua Daniel Royko,GSA
2016-02-23,General Services Administration,,Joshua Daniel Royko,Monthly
2016-02-23,General Services Administration,,Joshua Daniel Royko,Prices Paid
2016-02-23,General Services Administration,,Joshua Daniel Royko,Report
2016-02-23,General Services Administration,,Joshua Daniel Royko,Supplier
2016-02-23,General Services Administration,,Joshua Daniel Royko,Usage
2016-02-23,General Services Administration,,Joshua Daniel Royko,Vendor
2016-02-23,General Services Administration,,Joshua Daniel Royko,Wireless
2016-02-23,General Services Administration,,Joshua Daniel Royko,<nil>
2014-04-28,General Services Administration,,Andrew M Heller,GSA
2014-04-28,General Services Administration,,Andrew M Heller,General Services Administration
2014-04-28,General Services Administration,,Andrew M Heller,PBS leased
2014-04-28,General Services Administration,,Andrew M Heller,PBS owned
2014-04-28,General Services Administration,,Andrew M Heller,buildings
2014-04-28,General Services Administration,,Andrew M Heller,<nil>
2019-11-26,General Services Administration,,Meredith Whitehead,API
2019-11-26,General Services Administration,,Meredith Whitehead,Acquisition
2019-11-26,General Services Administration,,Meredith Whitehead,Award
2019-11-26,General Services Administration,,Meredith Whitehead,Contracts
2019-11-26,General Services Administration,,Meredith Whitehead,<nil>
2015-09-01,General Services Administration,,Jonah M Hatfield,Board
2015-09-01,General Services Administration,,Jonah M Hatfield,CIO
2015-09-01,General Services Administration,,Jonah M Hatfield,Governance
2015-09-01,General Services Administration,,Jonah M Hatfield,List
2015-09-01,General Services Administration,,Jonah M Hatfield,Membership
2015-09-01,General Services Administration,,Jonah M Hatfield,<nil>
2016-02-23,General Services Administration,,David Andrew Peters,FSSI
2016-02-23,General Services Administration,,David Andrew Peters,Wireless
2016-02-23,General Services Administration,,David Andrew Peters,<nil>
2018-09-26,General Services Administration,,Russell G O'Neill,API
2018-09-26,General Services Administration,,Russell G O'Neill,Go.USA.gov URL shortener
2018-09-26,General Services Administration,,Russell G O'Neill,<nil>
2016-03-04,General Services Administration,,Richard G Brooks,API
2016-03-04,General Services Administration,,Richard G Brooks,developers
2016-03-04,General Services Administration,,Richard G Brooks,government
2016-03-04,General Services Administration,,Richard G Brooks,web service
2016-03-04,General Services Administration,,Richard G Brooks,<nil>
2016-02-19,General Services Administration,,Toni L Holloway,Networx
2016-02-19,General Services Administration,,Toni L Holloway,telecommunications.
2016-02-19,General Services Administration,,Toni L Holloway,<nil>
2019-06-12,General Services Administration,,Toni L Holloway,Networx
2019-06-12,General Services Administration,,Toni L Holloway,telecommunications.
2019-06-12,General Services Administration,,Toni L Holloway,<nil>
2019-06-12,General Services Administration,,Toni L Holloway,Networx
2019-06-12,General Services Administration,,Toni L Holloway,telecommunications.
2019-06-12,General Services Administration,,Toni L Holloway,<nil>
2018-12-18,General Services Administration,,Meredith M Whitehead,Black List
2018-12-18,General Services Administration,,Meredith M Whitehead,EPLS
2018-12-18,General Services Administration,,Meredith M Whitehead,Ineligible Proceedings Completed
2018-12-18,General Services Administration,,Meredith M Whitehead,Ineligible Proceedings Pending
2018-12-18,General Services Administration,,Meredith M Whitehead,Prohibition Restriction
2018-12-18,General Services Administration,,Meredith M Whitehead,SAM
2018-12-18,General Services Administration,,Meredith M Whitehead,System for Award Management
2018-12-18,General Services Administration,,Meredith M Whitehead,Voluntary Exclusion
2018-12-18,General Services Administration,,Meredith M Whitehead,debarred list
2018-12-18,General Services Administration,,Meredith M Whitehead,excluded parties list
2018-12-18,General Services Administration,,Meredith M Whitehead,list of exclusions
2018-12-18,General Services Administration,,Meredith M Whitehead,<nil>
2016-01-21,General Services Administration,,Usha Gopal,Awards
2016-01-21,General Services Administration,,Usha Gopal,Contracts
2016-01-21,General Services Administration,,Usha Gopal,Quote
2016-01-21,General Services Administration,,Usha Gopal,RFQ
2016-01-21,General Services Administration,,Usha Gopal,Schedules
2016-01-21,General Services Administration,,Usha Gopal,e-Buy
2016-01-21,General Services Administration,,Usha Gopal,procurement
2016-01-21,General Services Administration,,Usha Gopal,<nil>
2016-01-07,General Services Administration,,Joshua Daniel Royko,FSSI
2016-01-07,General Services Administration,,Joshua Daniel Royko,OS2
2016-01-07,General Services Administration,,Joshua Daniel Royko,Office Supplies
2016-01-07,General Services Administration,,Joshua Daniel Royko,Strategic Sourcing
2016-01-07,General Services Administration,,Joshua Daniel Royko,<nil>
2020-12-22,General Services Administration,,David W Orcutt,FAS
2020-12-22,General Services Administration,,David W Orcutt,Industrial Funding Fee
2020-12-22,General Services Administration,,David W Orcutt,Instructional Letters
2020-12-22,General Services Administration,,David W Orcutt,Interactive
2020-12-22,General Services Administration,,David W Orcutt,<nil>
2020-12-30,General Services Administration,,David W Orcutt,FAS
2020-12-30,General Services Administration,,David W Orcutt,Industrial Funding Fee
2020-12-30,General Services Administration,,David W Orcutt,Instructional Letters
2020-12-30,General Services Administration,,David W Orcutt,Interactive
2020-12-30,General Services Administration,,David W Orcutt,<nil>
2011-03-30,General Services Administration,,Daniel Twomey,BPA
2011-03-30,General Services Administration,,Daniel Twomey,Blanket Purchase Agreement
2011-03-30,General Services Administration,,Daniel Twomey,Business
2011-03-30,General Services Administration,,Daniel Twomey,Contracts
2011-03-30,General Services Administration,,Daniel Twomey,Federal Supply Schedule
2011-03-30,General Services Administration,,Daniel Twomey,GWAC
2011-03-30,General Services Administration,,Daniel Twomey,Governmentwide Acquisition Contract
2011-03-30,General Services Administration,,Daniel Twomey,MAS
2011-03-30,General Services Administration,,Daniel Twomey,Multiple Award Schedule
2011-03-30,General Services Administration,,Daniel Twomey,NAICS
2011-03-30,General Services Administration,,Daniel Twomey,North American Industry Classification System
2011-03-30,General Services Administration,,Daniel Twomey,Schedules
2011-03-30,General Services Administration,,Daniel Twomey,<nil>
2016-01-07,General Services Administration,,Usha Gopal,GSA contract administration and fee management
2016-01-07,General Services Administration,,Usha Gopal,Schedule Sales Query
2016-01-07,General Services Administration,,Usha Gopal,sales data report
2016-01-07,General Services Administration,,Usha Gopal,sales volume figures
2016-01-07,General Services Administration,,Usha Gopal,<nil>
2016-01-07,General Services Administration,,Dawn R Smith,Application
2016-01-07,General Services Administration,,Dawn R Smith,Employment
2016-01-07,General Services Administration,,Dawn R Smith,Human Capital
2016-01-07,General Services Administration,,Dawn R Smith,Jobs
2016-01-07,General Services Administration,,Dawn R Smith,Time2Hire
2016-01-07,General Services Administration,,Dawn R Smith,USAJobs
2016-01-07,General Services Administration,,Dawn R Smith,Vacancy
2016-01-07,General Services Administration,,Dawn R Smith,<nil>
2015-09-01,General Services Administration,,Jonah M Hatfield,Bureau
2015-09-01,General Services Administration,,Jonah M Hatfield,IT
2015-09-01,General Services Administration,,Jonah M Hatfield,Leadership
2015-09-01,General Services Administration,,Jonah M Hatfield,<nil>
2019-06-12,General Services Administration,,Toni L Holloway,Networx Telecommunications
2019-06-12,General Services Administration,,Toni L Holloway,<nil>
2016-02-23,General Services Administration,,Norma H Tolson,Authorization
2016-02-23,General Services Administration,,Norma H Tolson,Closed
2016-02-23,General Services Administration,,Norma H Tolson,Concur
2016-02-23,General Services Administration,,Norma H Tolson,Paid
2016-02-23,General Services Administration,,Norma H Tolson,Travel
2016-02-23,General Services Administration,,Norma H Tolson,Voucher
2016-02-23,General Services Administration,,Norma H Tolson,<nil>
2015-09-14,General Services Administration,,Hyon Joo Kim,Countries
2015-09-14,General Services Administration,,Hyon Joo Kim,States
2015-09-14,General Services Administration,,Hyon Joo Kim,Statistics
2015-09-14,General Services Administration,,Hyon Joo Kim,Visitors
2015-09-14,General Services Administration,,Hyon Joo Kim,data.gov
2015-09-14,General Services Administration,,Hyon Joo Kim,<nil>
2015-09-14,General Services Administration,,David W Orcutt,Acquisition
2015-09-14,General Services Administration,,David W Orcutt,Balanced Scorecard
2015-09-14,General Services Administration,,David W Orcutt,FAS
2015-09-14,General Services Administration,,David W Orcutt,Instructional Letters
2015-09-14,General Services Administration,,David W Orcutt,<nil>
2024-08-08T14:21:26.352Z,General Services Administration,,Carena Jackson,NAICS
2024-08-08T14:21:26.352Z,General Services Administration,,Carena Jackson,Prime Contractors
2024-08-08T14:21:26.352Z,General Services Administration,,Carena Jackson,Subcontracting
2024-08-08T14:21:26.352Z,General Services Administration,,Carena Jackson,Subcontracting Directory
2024-08-08T14:21:26.352Z,General Services Administration,,Carena Jackson,<nil>
2018-09-24,General Services Administration,,Cindy A Smith,API
2018-09-24,General Services Administration,,Cindy A Smith,Assets
2018-09-24,General Services Administration,,Cindy A Smith,Auctions
2018-09-24,General Services Administration,,Cindy A Smith,Federal Personal Property
2018-09-24,General Services Administration,,Cindy A Smith,<nil>
2018-09-24,Data.gov,Technology Transformation Service,Hyon Kim,API
2018-09-24,Data.gov,Technology Transformation Service,Hyon Kim,CKAN
2018-09-24,Data.gov,Technology Transformation Service,Hyon Kim,DATA
2018-09-24,Data.gov,Technology Transformation Service,Hyon Kim,GOV
2018-09-24,Data.gov,Technology Transformation Service,Hyon Kim,<nil>
2022-08-01T13:35:22.951Z,General Services Administration,,Morgan L Redden,EDI
2022-08-01T13:35:22.951Z,General Services Administration,,Morgan L Redden,Enterprise Data Inventory
2022-08-01T13:35:22.951Z,General Services Administration,,Morgan L Redden,GSA EDI
2022-08-01T13:35:22.951Z,General Services Administration,,Morgan L Redden,JSON
2022-08-01T13:35:22.951Z,General Services Administration,,Morgan L Redden,<nil>
2019-06-12,General Services Administration,,Toni L Holloway,Contract
2019-06-12,General Services Administration,,Toni L Holloway,Networx Telecommunications
2019-06-12,General Services Administration,,Toni L Holloway,Telecommunications
2019-06-12,General Services Administration,,Toni L Holloway,<nil>
2024-08-19T15:39:58.340Z,General Services Administration,,Alexandria Smith,GSA IT
2024-08-19T15:39:58.340Z,General Services Administration,,Alexandria Smith,GSA IT reform cost savings
2024-08-19T15:39:58.340Z,General Services Administration,,Alexandria Smith,cost avoidance
2024-08-19T15:39:58.340Z,General Services Administration,,Alexandria Smith,cost savings
2024-08-19T15:39:58.340Z,General Services Administration,,Alexandria Smith,savings
2024-08-19T15:39:58.340Z,General Services Administration,,Alexandria Smith,<nil>
2018-07-25,General Services Administration,,Nancy V Hexmoor,p-card
2018-07-25,General Services Administration,,Nancy V Hexmoor,purchase card
2018-07-25,General Services Administration,,Nancy V Hexmoor,purchase card transactions
2018-07-25,General Services Administration,,Nancy V Hexmoor,transactions
2018-07-25,General Services Administration,,Nancy V Hexmoor,<nil>
2018-11-15,General Services Administration,,Nancy V Hexmoor,p-card
2018-11-15,General Services Administration,,Nancy V Hexmoor,purchase card
2018-11-15,General Services Administration,,Nancy V Hexmoor,purchase card transactions
2018-11-15,General Services Administration,,Nancy V Hexmoor,transactions
2018-11-15,General Services Administration,,Nancy V Hexmoor,<nil>
2016-01-05,General Services Administration,,Daphne Muse,Purchase Card
2016-01-05,General Services Administration,,Daphne Muse,<nil>
2018-11-15,General Services Administration,,Nancy V Hexmoor,p-card
2018-11-15,General Services Administration,,Nancy V Hexmoor,purchase card
2018-11-15,General Services Administration,,Nancy V Hexmoor,purchase card transactions
2018-11-15,General Services Administration,,Nancy V Hexmoor,transactions
2018-11-15,General Services Administration,,Nancy V Hexmoor,<nil>
2018-11-15,General Services Administration,,Nancy V Hexmoor,p-card
2018-11-15,General Services Administration,,Nancy V Hexmoor,purchase card
2018-11-15,General Services Administration,,Nancy V Hexmoor,purchase card transactions
2018-11-15,General Services Administration,,Nancy V Hexmoor,transactions
2018-11-15,General Services Administration,,Nancy V Hexmoor,<nil>
2018-11-15,General Services Administration,,Nancy V Hexmoor,p-card
2018-11-15,General Services Administration,,Nancy V Hexmoor,purchase card
2018-11-15,General Services Administration,,Nancy V Hexmoor,purchase card transactions
2018-11-15,General Services Administration,,Nancy V Hexmoor,transactions
2018-11-15,General Services Administration,,Nancy V Hexmoor,<nil>
2018-11-15,General Services Administration,,Nancy V Hexmoor,p-card
2018-11-15,General Services Administration,,Nancy V Hexmoor,purchase card
2018-11-15,General Services Administration,,Nancy V Hexmoor,purchase card transactions
2018-11-15,General Services Administration,,Nancy V Hexmoor,transactions
2018-11-15,General Services Administration,,Nancy V Hexmoor,<nil>
2018-11-15,General Services Administration,,Daphne Muse,Inspector General
2018-11-15,General Services Administration,,Daphne Muse,Office of Inspector General
2018-11-15,General Services Administration,,Daphne Muse,Purchase Card
2018-11-15,General Services Administration,,Daphne Muse,transactions
2018-11-15,General Services Administration,,Daphne Muse,<nil>
2017-02-15,General Services Administration,,James G Parks,BOCA
2017-02-15,General Services Administration,,James G Parks,Civilian Board
2017-02-15,General Services Administration,,James G Parks,GSA SmartPay
2017-02-15,General Services Administration,,James G Parks,Purchase Card
2017-02-15,General Services Administration,,James G Parks,Transactions
2017-02-15,General Services Administration,,James G Parks,<nil>
2018-11-15,General Services Administration,,James G Parks,BOCA
2018-11-15,General Services Administration,,James G Parks,Contract Board
2018-11-15,General Services Administration,,James G Parks,GSA SmartPay
2018-11-15,General Services Administration,,James G Parks,Purchase Card
2018-11-15,General Services Administration,,James G Parks,Transactions
2018-11-15,General Services Administration,,James G Parks,<nil>
2018-11-15,General Services Administration,,James G Parks,BOCA
2018-11-15,General Services Administration,,James G Parks,Contract Board
2018-11-15,General Services Administration,,James G Parks,GSA SmartPay
2018-11-15,General Services Administration,,James G Parks,Purchase Card
2018-11-15,General Services Administration,,James G Parks,Transactions
2018-11-15,General Services Administration,,James G Parks,<nil>
2018-11-15,General Services Administration,,James G Parks,BOCA
2018-11-15,General Services Administration,,James G Parks,Contract Board
2018-11-15,General Services Administration,,James G Parks,GSA SmartPay
2018-11-15,General Services Administration,,James G Parks,Purchase Card
2018-11-15,General Services Administration,,James G Parks,Transactions
2018-11-15,General Services Administration,,James G Parks,<nil>
2018-11-15,General Services Administration,,James G Parks,BOCA
2018-11-15,General Services Administration,,James G Parks,Contract Board
2018-11-15,General Services Administration,,James G Parks,GSA SmartPay
2018-11-15,General Services Administration,,James G Parks,Purchase Card
2018-11-15,General Services Administration,,James G Parks,Transactions
2018-11-15,General Services Administration,,James G Parks,<nil>
2018-11-15,General Services Administration,,Nancy V Hexmoor,p-card
2018-11-15,General Services Administration,,Nancy V Hexmoor,purchase card
2018-11-15,General Services Administration,,Nancy V Hexmoor,purchase card transactions
2018-11-15,General Services Administration,,Nancy V Hexmoor,transactions
2018-11-15,General Services Administration,,Nancy V Hexmoor,<nil>
2018-11-15,General Services Administration,,James G Parks,BOCA
2018-11-15,General Services Administration,,James G Parks,Contract Board
2018-11-15,General Services Administration,,James G Parks,GSA SmartPay
2018-11-15,General Services Administration,,James G Parks,Purchase Card
2018-11-15,General Services Administration,,James G Parks,Transactions
2018-11-15,General Services Administration,,James G Parks,<nil>
2018-11-15,General Services Administration,,James G Parks,BOCA
2018-11-15,General Services Administration,,James G Parks,Contract Board
2018-11-15,General Services Administration,,James G Parks,GSA SmartPay
2018-11-15,General Services Administration,,James G Parks,Purchase Card
2018-11-15,General Services Administration,,James G Parks,Transactions
2018-11-15,General Services Administration,,James G Parks,<nil>
2018-11-15,General Services Administration,,James G Parks,BOCA
2018-11-15,General Services Administration,,James G Parks,Contract Board
2018-11-15,General Services Administration,,James G Parks,GSA SmartPay
2018-11-15,General Services Administration,,James G Parks,Purchase Card
2018-11-15,General Services Administration,,James G Parks,Transactions
2018-11-15,General Services Administration,,James G Parks,<nil>
2018-11-15,General Services Administration,,Nancy V Hexmoor,p-card
2018-11-15,General Services Administration,,Nancy V Hexmoor,purchase card
2018-11-15,General Services Administration,,Nancy V Hexmoor,purchase card transactions
2018-11-15,General Services Administration,,Nancy V Hexmoor,transactions
2018-11-15,General Services Administration,,Nancy V Hexmoor,<nil>
2018-11-15,General Services Administration,,Daphne Muse,Inspector General
2018-11-15,General Services Administration,,Daphne Muse,Office of Inspector General
2018-11-15,General Services Administration,,Daphne Muse,Purchase Card
2018-11-15,General Services Administration,,Daphne Muse,transactions
2018-11-15,General Services Administration,,Daphne Muse,<nil>
2016-01-21,General Services Administration,,Usha Gopal,Awards
2016-01-21,General Services Administration,,Usha Gopal,Contracts
2016-01-21,General Services Administration,,Usha Gopal,Quote
2016-01-21,General Services Administration,,Usha Gopal,RFQ
2016-01-21,General Services Administration,,Usha Gopal,Schedules
2016-01-21,General Services Administration,,Usha Gopal,e-Buy
2016-01-21,General Services Administration,,Usha Gopal,procurement
2016-01-21,General Services Administration,,Usha Gopal,<nil>
2016-01-21,General Services Administration,,Usha Gopal,Awards
2016-01-21,General Services Administration,,Usha Gopal,Contracts
2016-01-21,General Services Administration,,Usha Gopal,Quote
2016-01-21,General Services Administration,,Usha Gopal,RFQ
2016-01-21,General Services Administration,,Usha Gopal,Schedules
2016-01-21,General Services Administration,,Usha Gopal,e-Buy
2016-01-21,General Services Administration,,Usha Gopal,procurement
2016-01-21,General Services Administration,,Usha Gopal,<nil>
